# tracer: function_graph
#
# CPU  TASK/PID         DURATION                  FUNCTION CALLS
# |     |    |           |   |                     |   |   |   |
 4)    sh-83082    |   1.084 us    |  mutex_unlock();
 1)  lima-gu-1171  |   1.000 us    |  dynamic_cond_resched();
 5)    dd-83138    |               |  vfs_write() {
 5)    dd-83138    |               |    rw_verify_area() {
 5)    dd-83138    |   0.417 us    |      security_file_permission();
 5)    dd-83138    |   0.750 us    |    }
 5)    dd-83138    |   0.125 us    |    dynamic_might_resched();
 5)    dd-83138    |               |    shmem_file_write_iter() {
 5)    dd-83138    |   0.083 us    |      down_write();
 5)    dd-83138    |   0.208 us    |      generic_write_checks();
 5)    dd-83138    |   1.333 us    |      file_remove_privs();
 5)    dd-83138    |   0.208 us    |      file_update_time();
 5)    dd-83138    |   6.333 us    |      generic_perform_write();
 5)    dd-83138    |   0.083 us    |      up_write();
 5)    dd-83138    |   8.875 us    |    }
 5)    dd-83138    | + 10.875 us   |  }
 5)    dd-83138    |               |  vfs_write() {
 5)    dd-83138    |               |    rw_verify_area() {
 5)    dd-83138    |   0.250 us    |      security_file_permission();
 5)    dd-83138    |   0.417 us    |    }
 5)    dd-83138    |   0.083 us    |    dynamic_might_resched();
 5)    dd-83138    |               |    shmem_file_write_iter() {
 5)    dd-83138    |   0.125 us    |      down_write();
 5)    dd-83138    |   0.125 us    |      generic_write_checks();
 5)    dd-83138    |   0.125 us    |      file_remove_privs();
 5)    dd-83138    |   0.167 us    |      file_update_time();
 5)    dd-83138    |   0.834 us    |      generic_perform_write();
 5)    dd-83138    |   0.083 us    |      up_write();
 5)    dd-83138    |   1.917 us    |    }
 5)    dd-83138    |   2.708 us    |  }
 5)    dd-83138    |               |  vfs_write() {
 5)    dd-83138    |               |    rw_verify_area() {
 5)    dd-83138    |   0.250 us    |      security_file_permission();
 5)    dd-83138    |   0.459 us    |    }
 5)    dd-83138    |   0.083 us    |    write_null();
 5)    dd-83138    |   0.958 us    |  }
 5)    dd-83138    |               |  vfs_write() {
 5)    dd-83138    |               |    rw_verify_area() {
